Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Started analysis of Res2_RNA_A1_1.fastq.gz
Started analysis of Res2_RNA_A1_2.fastq.gz
Started analysis of Res2_RNA_A2_1.fastq.gz
Started analysis of Res2_RNA_A2_2.fastq.gz
Started analysis of Res2_RNA_A3_1.fastq.gz
Started analysis of Res2_RNA_A3_2.fastq.gz
Approx 55% complete for Res2_RNA_F4_2.fastq.gz
Approx 30% complete for Res2_RNA_F5_2.fastq.gz
Approx 20% complete for Res2_RNA_F6_1.fastq.gz
Approx 50% complete for Res2_RNA_F5_1.fastq.gz
Approx 20% complete for Res2_RNA_F6_2.fastq.gz
Approx 60% complete for Res2_RNA_F4_1.fastq.gz
Approx 60% complete for Res2_RNA_F4_2.fastq.gz
Approx 35% complete for Res2_RNA_F5_2.fastq.gz
Approx 25% complete for Res2_RNA_F6_1.fastq.gz
Approx 55% complete for Res2_RNA_F5_1.fastq.gz
Approx 25% complete for Res2_RNA_F6_2.fastq.gz
Approx 40% complete for Res2_RNA_F5_2.fastq.gz
Approx 65% complete for Res2_RNA_F4_1.fastq.gz
Approx 65% complete for Res2_RNA_F4_2.fastq.gz
Approx 30% complete for Res2_RNA_F6_1.fastq.gz
Approx 60% complete for Res2_RNA_F5_1.fastq.gz
Approx 45% complete for Res2_RNA_F5_2.fastq.gz
Approx 30% complete for Res2_RNA_F6_2.fastq.gz
Approx 70% complete for Res2_RNA_F4_1.fastq.gz
Approx 65% complete for Res2_RNA_F5_1.fastq.gz
Approx 70% complete for Res2_RNA_F4_2.fastq.gz
Approx 35% complete for Res2_RNA_F6_1.fastq.gz
Approx 50% complete for Res2_RNA_F5_2.fastq.gz
Approx 35% complete for Res2_RNA_F6_2.fastq.gz
Approx 70% complete for Res2_RNA_F5_1.fastq.gz
Approx 75% complete for Res2_RNA_F4_1.fastq.gz
Approx 75% complete for Res2_RNA_F4_2.fastq.gz
Approx 40% complete for Res2_RNA_F6_1.fastq.gz
Approx 55% complete for Res2_RNA_F5_2.fastq.gz
Approx 40% complete for Res2_RNA_F6_2.fastq.gz
Approx 75% complete for Res2_RNA_F5_1.fastq.gz
Approx 60% complete for Res2_RNA_F5_2.fastq.gz
Approx 80% complete for Res2_RNA_F4_1.fastq.gz
Approx 80% complete for Res2_RNA_F4_2.fastq.gz
Approx 45% complete for Res2_RNA_F6_1.fastq.gz
Approx 80% complete for Res2_RNA_F5_1.fastq.gz
Approx 45% complete for Res2_RNA_F6_2.fastq.gz
Approx 65% complete for Res2_RNA_F5_2.fastq.gz
Approx 50% complete for Res2_RNA_F6_1.fastq.gz
Approx 85% complete for Res2_RNA_F4_1.fastq.gz
Approx 85% complete for Res2_RNA_F4_2.fastq.gz
Approx 85% complete for Res2_RNA_F5_1.fastq.gz
Approx 50% complete for Res2_RNA_F6_2.fastq.gz
Approx 70% complete for Res2_RNA_F5_2.fastq.gz
Approx 90% complete for Res2_RNA_F5_1.fastq.gz
Approx 55% complete for Res2_RNA_F6_1.fastq.gz
Approx 90% complete for Res2_RNA_F4_2.fastq.gz
Approx 90% complete for Res2_RNA_F4_1.fastq.gz
Approx 75% complete for Res2_RNA_F5_2.fastq.gz
Approx 55% complete for Res2_RNA_F6_2.fastq.gz
Approx 95% complete for Res2_RNA_F5_1.fastq.gz
Approx 60% complete for Res2_RNA_F6_1.fastq.gz
Approx 80% complete for Res2_RNA_F5_2.fastq.gz
Approx 95% complete for Res2_RNA_F4_2.fastq.gz
Approx 95% complete for Res2_RNA_F4_1.fastq.gz
Approx 60% complete for Res2_RNA_F6_2.fastq.gz
Analysis complete for Res2_RNA_F5_1.fastq.gz
Started analysis of Res2_RNA_G1_1.fastq.gz
Approx 85% complete for Res2_RNA_F5_2.fastq.gz
Approx 65% complete for Res2_RNA_F6_1.fastq.gz
Analysis complete for Res2_RNA_F4_2.fastq.gz
Approx 65% complete for Res2_RNA_F6_2.fastq.gz
Analysis complete for Res2_RNA_F4_1.fastq.gz
Started analysis of Res2_RNA_G1_2.fastq.gz
Approx 90% complete for Res2_RNA_F5_2.fastq.gz
Approx 70% complete for Res2_RNA_F6_1.fastq.gz
Started analysis of Res2_RNA_G2_1.fastq.gz
Approx 70% complete for Res2_RNA_F6_2.fastq.gz
Approx 95% complete for Res2_RNA_F5_2.fastq.gz
Approx 75% complete for Res2_RNA_F6_1.fastq.gz
Approx 5% complete for Res2_RNA_G2_1.fastq.gz
Analysis complete for Res2_RNA_F5_2.fastq.gz
Approx 75% complete for Res2_RNA_F6_2.fastq.gz
Started analysis of Res2_RNA_G2_2.fastq.gz
Approx 5% complete for Res2_RNA_G1_1.fastq.gz
Approx 80% complete for Res2_RNA_F6_1.fastq.gz
Approx 10% complete for Res2_RNA_G2_1.fastq.gz
Approx 80% complete for Res2_RNA_F6_2.fastq.gz
Approx 5% complete for Res2_RNA_G1_2.fastq.gz
Approx 85% complete for Res2_RNA_F6_1.fastq.gz
Approx 5% complete for Res2_RNA_G2_2.fastq.gz
Approx 85% complete for Res2_RNA_F6_2.fastq.gz
Approx 15% complete for Res2_RNA_G2_1.fastq.gz
Approx 90% complete for Res2_RNA_F6_1.fastq.gz
Approx 10% complete for Res2_RNA_G2_2.fastq.gz
Approx 90% complete for Res2_RNA_F6_2.fastq.gz
Approx 20% complete for Res2_RNA_G2_1.fastq.gz
Approx 10% complete for Res2_RNA_G1_1.fastq.gz
Approx 95% complete for Res2_RNA_F6_1.fastq.gz
Approx 15% complete for Res2_RNA_G2_2.fastq.gz
Approx 95% complete for Res2_RNA_F6_2.fastq.gz
Approx 25% complete for Res2_RNA_G2_1.fastq.gz
Analysis complete for Res2_RNA_F6_1.fastq.gz
Approx 10% complete for Res2_RNA_G1_2.fastq.gz
Started analysis of Res2_RNA_G3_1.fastq.gz
Analysis complete for Res2_RNA_F6_2.fastq.gz
Approx 30% complete for Res2_RNA_G2_1.fastq.gz
Approx 20% complete for Res2_RNA_G2_2.fastq.gz
Started analysis of Res2_RNA_G3_2.fastq.gz
Approx 35% complete for Res2_RNA_G2_1.fastq.gz
Approx 5% complete for Res2_RNA_G3_1.fastq.gz
Approx 25% complete for Res2_RNA_G2_2.fastq.gz
Approx 15% complete for Res2_RNA_G1_1.fastq.gz
Approx 5% complete for Res2_RNA_G3_2.fastq.gz
Approx 40% complete for Res2_RNA_G2_1.fastq.gz
Approx 10% complete for Res2_RNA_G3_1.fastq.gz
Approx 30% complete for Res2_RNA_G2_2.fastq.gz
Approx 10% complete for Res2_RNA_G3_2.fastq.gz
Approx 45% complete for Res2_RNA_G2_1.fastq.gz
Approx 15% complete for Res2_RNA_G3_1.fastq.gz
Approx 15% complete for Res2_RNA_G1_2.fastq.gz
Approx 35% complete for Res2_RNA_G2_2.fastq.gz
Approx 15% complete for Res2_RNA_G3_2.fastq.gz
Approx 20% complete for Res2_RNA_G3_1.fastq.gz
Approx 50% complete for Res2_RNA_G2_1.fastq.gz
Approx 20% complete for Res2_RNA_G1_1.fastq.gz
Approx 40% complete for Res2_RNA_G2_2.fastq.gz
Approx 20% complete for Res2_RNA_G3_2.fastq.gz
Approx 25% complete for Res2_RNA_G3_1.fastq.gz
Approx 55% complete for Res2_RNA_G2_1.fastq.gz
Approx 45% complete for Res2_RNA_G2_2.fastq.gz
Approx 25% complete for Res2_RNA_G3_2.fastq.gz
Approx 30% complete for Res2_RNA_G3_1.fastq.gz
Approx 60% complete for Res2_RNA_G2_1.fastq.gz
Approx 20% complete for Res2_RNA_G1_2.fastq.gz
Approx 30% complete for Res2_RNA_G3_2.fastq.gz
Approx 50% complete for Res2_RNA_G2_2.fastq.gz
Approx 35% complete for Res2_RNA_G3_1.fastq.gz
Approx 65% complete for Res2_RNA_G2_1.fastq.gz
Approx 25% complete for Res2_RNA_G1_1.fastq.gz
Approx 35% complete for Res2_RNA_G3_2.fastq.gz
Approx 55% complete for Res2_RNA_G2_2.fastq.gz
Approx 40% complete for Res2_RNA_G3_1.fastq.gz
Approx 70% complete for Res2_RNA_G2_1.fastq.gz
Approx 40% complete for Res2_RNA_G3_2.fastq.gz
Approx 60% complete for Res2_RNA_G2_2.fastq.gz
Approx 45% complete for Res2_RNA_G3_1.fastq.gz
Approx 75% complete for Res2_RNA_G2_1.fastq.gz
Approx 45% complete for Res2_RNA_G3_2.fastq.gz
Approx 65% complete for Res2_RNA_G2_2.fastq.gz
Approx 25% complete for Res2_RNA_G1_2.fastq.gz
Approx 50% complete for Res2_RNA_G3_1.fastq.gz
Approx 50% complete for Res2_RNA_G3_2.fastq.gz
Approx 80% complete for Res2_RNA_G2_1.fastq.gz
Approx 30% complete for Res2_RNA_G1_1.fastq.gz
Approx 70% complete for Res2_RNA_G2_2.fastq.gz
Approx 55% complete for Res2_RNA_G3_1.fastq.gz
Approx 55% complete for Res2_RNA_G3_2.fastq.gz
Approx 85% complete for Res2_RNA_G2_1.fastq.gz
Approx 60% complete for Res2_RNA_G3_1.fastq.gz
Approx 75% complete for Res2_RNA_G2_2.fastq.gz
Approx 60% complete for Res2_RNA_G3_2.fastq.gz
Approx 90% complete for Res2_RNA_G2_1.fastq.gz
Approx 65% complete for Res2_RNA_G3_1.fastq.gz
Approx 80% complete for Res2_RNA_G2_2.fastq.gz
Approx 65% complete for Res2_RNA_G3_2.fastq.gz
Approx 30% complete for Res2_RNA_G1_2.fastq.gz
Approx 95% complete for Res2_RNA_G2_1.fastq.gz
Approx 70% complete for Res2_RNA_G3_1.fastq.gz
Approx 35% complete for Res2_RNA_G1_1.fastq.gz
Approx 85% complete for Res2_RNA_G2_2.fastq.gz
Approx 70% complete for Res2_RNA_G3_2.fastq.gz
Approx 75% complete for Res2_RNA_G3_1.fastq.gz
Analysis complete for Res2_RNA_G2_1.fastq.gz
Approx 90% complete for Res2_RNA_G2_2.fastq.gz
Approx 75% complete for Res2_RNA_G3_2.fastq.gz
Started analysis of Res2_RNA_G4_1.fastq.gz
Approx 80% complete for Res2_RNA_G3_1.fastq.gz
Approx 80% complete for Res2_RNA_G3_2.fastq.gz
Approx 95% complete for Res2_RNA_G2_2.fastq.gz
Approx 85% complete for Res2_RNA_G3_1.fastq.gz
Approx 5% complete for Res2_RNA_G4_1.fastq.gz
Approx 35% complete for Res2_RNA_G1_2.fastq.gz
Approx 85% complete for Res2_RNA_G3_2.fastq.gz
Analysis complete for Res2_RNA_G2_2.fastq.gz
Approx 40% complete for Res2_RNA_G1_1.fastq.gz
Approx 90% complete for Res2_RNA_G3_1.fastq.gz
Started analysis of Res2_RNA_G4_2.fastq.gz
Approx 90% complete for Res2_RNA_G3_2.fastq.gz
Approx 10% complete for Res2_RNA_G4_1.fastq.gz
Approx 95% complete for Res2_RNA_G3_1.fastq.gz
Approx 95% complete for Res2_RNA_G3_2.fastq.gz
Approx 5% complete for Res2_RNA_G4_2.fastq.gz
Approx 15% complete for Res2_RNA_G4_1.fastq.gz
Analysis complete for Res2_RNA_G3_1.fastq.gz
Started analysis of Res2_RNA_G5_1.fastq.gz
Analysis complete for Res2_RNA_G3_2.fastq.gz
Approx 40% complete for Res2_RNA_G1_2.fastq.gz
Started analysis of Res2_RNA_G5_2.fastq.gz
Approx 45% complete for Res2_RNA_G1_1.fastq.gz
Approx 10% complete for Res2_RNA_G4_2.fastq.gz
Approx 20% complete for Res2_RNA_G4_1.fastq.gz
Approx 5% complete for Res2_RNA_G5_1.fastq.gz
Approx 5% complete for Res2_RNA_G5_2.fastq.gz
Approx 10% complete for Res2_RNA_G5_1.fastq.gz
Approx 25% complete for Res2_RNA_G4_1.fastq.gz
Approx 15% complete for Res2_RNA_G4_2.fastq.gz
Approx 10% complete for Res2_RNA_G5_2.fastq.gz
Approx 15% complete for Res2_RNA_G5_1.fastq.gz
Approx 30% complete for Res2_RNA_G4_1.fastq.gz
Approx 50% complete for Res2_RNA_G1_1.fastq.gz
Approx 20% complete for Res2_RNA_G4_2.fastq.gz
Approx 15% complete for Res2_RNA_G5_2.fastq.gz
Approx 45% complete for Res2_RNA_G1_2.fastq.gz
Approx 20% complete for Res2_RNA_G5_1.fastq.gz
Approx 35% complete for Res2_RNA_G4_1.fastq.gz
Approx 20% complete for Res2_RNA_G5_2.fastq.gz
Approx 25% complete for Res2_RNA_G4_2.fastq.gz
Approx 25% complete for Res2_RNA_G5_1.fastq.gz
Approx 40% complete for Res2_RNA_G4_1.fastq.gz
Approx 25% complete for Res2_RNA_G5_2.fastq.gz
Approx 30% complete for Res2_RNA_G5_1.fastq.gz
Approx 55% complete for Res2_RNA_G1_1.fastq.gz
Approx 30% complete for Res2_RNA_G4_2.fastq.gz
Approx 50% complete for Res2_RNA_G1_2.fastq.gz
Approx 45% complete for Res2_RNA_G4_1.fastq.gz
Approx 30% complete for Res2_RNA_G5_2.fastq.gz
Approx 35% complete for Res2_RNA_G5_1.fastq.gz
Approx 35% complete for Res2_RNA_G4_2.fastq.gz
Approx 35% complete for Res2_RNA_G5_2.fastq.gz
Approx 50% complete for Res2_RNA_G4_1.fastq.gz
Approx 40% complete for Res2_RNA_G5_1.fastq.gz
Approx 40% complete for Res2_RNA_G4_2.fastq.gz
Approx 40% complete for Res2_RNA_G5_2.fastq.gz
Approx 60% complete for Res2_RNA_G1_1.fastq.gz
Approx 55% complete for Res2_RNA_G4_1.fastq.gz
Approx 45% complete for Res2_RNA_G5_1.fastq.gz
Approx 55% complete for Res2_RNA_G1_2.fastq.gz
Approx 45% complete for Res2_RNA_G5_2.fastq.gz
Approx 45% complete for Res2_RNA_G4_2.fastq.gz
Approx 50% complete for Res2_RNA_G5_1.fastq.gz
Approx 60% complete for Res2_RNA_G4_1.fastq.gz
Approx 50% complete for Res2_RNA_G5_2.fastq.gz
Approx 50% complete for Res2_RNA_G4_2.fastq.gz
Approx 55% complete for Res2_RNA_G5_1.fastq.gz
Approx 65% complete for Res2_RNA_G4_1.fastq.gz
Approx 65% complete for Res2_RNA_G1_1.fastq.gz
Approx 55% complete for Res2_RNA_G5_2.fastq.gz
Approx 60% complete for Res2_RNA_G1_2.fastq.gz
Approx 55% complete for Res2_RNA_G4_2.fastq.gz
Approx 60% complete for Res2_RNA_G5_1.fastq.gz
Approx 70% complete for Res2_RNA_G4_1.fastq.gz
Approx 60% complete for Res2_RNA_G5_2.fastq.gz
Approx 65% complete for Res2_RNA_G5_1.fastq.gz
Approx 60% complete for Res2_RNA_G4_2.fastq.gz
Approx 75% complete for Res2_RNA_G4_1.fastq.gz
Approx 65% complete for Res2_RNA_G5_2.fastq.gz
Approx 70% complete for Res2_RNA_G5_1.fastq.gz
Approx 70% complete for Res2_RNA_G1_1.fastq.gz
Approx 65% complete for Res2_RNA_G4_2.fastq.gz
Approx 80% complete for Res2_RNA_G4_1.fastq.gz
Approx 70% complete for Res2_RNA_G5_2.fastq.gz
Approx 65% complete for Res2_RNA_G1_2.fastq.gz
Approx 75% complete for Res2_RNA_G5_1.fastq.gz
Approx 70% complete for Res2_RNA_G4_2.fastq.gz
Approx 75% complete for Res2_RNA_G5_2.fastq.gz
Approx 85% complete for Res2_RNA_G4_1.fastq.gz
Approx 80% complete for Res2_RNA_G5_1.fastq.gz
Approx 80% complete for Res2_RNA_G5_2.fastq.gz
Approx 75% complete for Res2_RNA_G4_2.fastq.gz
Approx 90% complete for Res2_RNA_G4_1.fastq.gz
Approx 75% complete for Res2_RNA_G1_1.fastq.gz
Approx 85% complete for Res2_RNA_G5_1.fastq.gz
Approx 70% complete for Res2_RNA_G1_2.fastq.gz
Approx 85% complete for Res2_RNA_G5_2.fastq.gz
Approx 80% complete for Res2_RNA_G4_2.fastq.gz
Approx 95% complete for Res2_RNA_G4_1.fastq.gz
Approx 90% complete for Res2_RNA_G5_1.fastq.gz
Approx 90% complete for Res2_RNA_G5_2.fastq.gz
Approx 85% complete for Res2_RNA_G4_2.fastq.gz
Approx 95% complete for Res2_RNA_G5_1.fastq.gz
Analysis complete for Res2_RNA_G4_1.fastq.gz
Approx 80% complete for Res2_RNA_G1_1.fastq.gz
Approx 95% complete for Res2_RNA_G5_2.fastq.gz
Started analysis of Res2_RNA_G6_1.fastq.gz
Approx 75% complete for Res2_RNA_G1_2.fastq.gz
Analysis complete for Res2_RNA_G5_1.fastq.gz
Approx 90% complete for Res2_RNA_G4_2.fastq.gz
Analysis complete for Res2_RNA_G5_2.fastq.gz
Started analysis of Res2_RNA_G6_2.fastq.gz
Approx 5% complete for Res2_RNA_G6_1.fastq.gz
Started analysis of Res2_RNA_H1_1.fastq.gz
Approx 95% complete for Res2_RNA_G4_2.fastq.gz
Approx 5% complete for Res2_RNA_G6_2.fastq.gz
Approx 85% complete for Res2_RNA_G1_1.fastq.gz
Approx 10% complete for Res2_RNA_G6_1.fastq.gz
Approx 5% complete for Res2_RNA_H1_1.fastq.gz
Approx 80% complete for Res2_RNA_G1_2.fastq.gz
Analysis complete for Res2_RNA_G4_2.fastq.gz
Approx 10% complete for Res2_RNA_G6_2.fastq.gz
Approx 15% complete for Res2_RNA_G6_1.fastq.gz
Started analysis of Res2_RNA_H1_2.fastq.gz
Approx 10% complete for Res2_RNA_H1_1.fastq.gz
Approx 20% complete for Res2_RNA_G6_1.fastq.gz
Approx 15% complete for Res2_RNA_G6_2.fastq.gz
Approx 90% complete for Res2_RNA_G1_1.fastq.gz
Approx 5% complete for Res2_RNA_H1_2.fastq.gz
Approx 85% complete for Res2_RNA_G1_2.fastq.gz
Approx 25% complete for Res2_RNA_G6_1.fastq.gz
Approx 15% complete for Res2_RNA_H1_1.fastq.gz
Approx 20% complete for Res2_RNA_G6_2.fastq.gz
Approx 30% complete for Res2_RNA_G6_1.fastq.gz
Approx 10% complete for Res2_RNA_H1_2.fastq.gz
Approx 25% complete for Res2_RNA_G6_2.fastq.gz
Approx 20% complete for Res2_RNA_H1_1.fastq.gz
Approx 35% complete for Res2_RNA_G6_1.fastq.gz
Approx 95% complete for Res2_RNA_G1_1.fastq.gz
Approx 30% complete for Res2_RNA_G6_2.fastq.gz
Approx 15% complete for Res2_RNA_H1_2.fastq.gz
Approx 25% complete for Res2_RNA_H1_1.fastq.gz
Approx 90% complete for Res2_RNA_G1_2.fastq.gz
Approx 40% complete for Res2_RNA_G6_1.fastq.gz
Approx 35% complete for Res2_RNA_G6_2.fastq.gz
Approx 20% complete for Res2_RNA_H1_2.fastq.gz
Approx 45% complete for Res2_RNA_G6_1.fastq.gz
Approx 30% complete for Res2_RNA_H1_1.fastq.gz
Approx 40% complete for Res2_RNA_G6_2.fastq.gz
Analysis complete for Res2_RNA_G1_1.fastq.gz
Approx 50% complete for Res2_RNA_G6_1.fastq.gz
Approx 35% complete for Res2_RNA_H1_1.fastq.gz
Approx 25% complete for Res2_RNA_H1_2.fastq.gz
Approx 45% complete for Res2_RNA_G6_2.fastq.gz
Approx 95% complete for Res2_RNA_G1_2.fastq.gz
Started analysis of Res2_RNA_H2_1.fastq.gz
Approx 55% complete for Res2_RNA_G6_1.fastq.gz
Approx 50% complete for Res2_RNA_G6_2.fastq.gz
Approx 40% complete for Res2_RNA_H1_1.fastq.gz
Approx 30% complete for Res2_RNA_H1_2.fastq.gz
Approx 60% complete for Res2_RNA_G6_1.fastq.gz
Approx 5% complete for Res2_RNA_H2_1.fastq.gz
Approx 55% complete for Res2_RNA_G6_2.fastq.gz
Approx 45% complete for Res2_RNA_H1_1.fastq.gz
Approx 35% complete for Res2_RNA_H1_2.fastq.gz
Approx 65% complete for Res2_RNA_G6_1.fastq.gz
Approx 60% complete for Res2_RNA_G6_2.fastq.gz
Analysis complete for Res2_RNA_G1_2.fastq.gz
Approx 10% complete for Res2_RNA_H2_1.fastq.gz
Approx 50% complete for Res2_RNA_H1_1.fastq.gz
Approx 40% complete for Res2_RNA_H1_2.fastq.gz
Approx 70% complete for Res2_RNA_G6_1.fastq.gz
Approx 65% complete for Res2_RNA_G6_2.fastq.gz
Started analysis of Res2_RNA_H2_2.fastq.gz
Approx 15% complete for Res2_RNA_H2_1.fastq.gz
Approx 55% complete for Res2_RNA_H1_1.fastq.gz
Approx 75% complete for Res2_RNA_G6_1.fastq.gz
Approx 70% complete for Res2_RNA_G6_2.fastq.gz
Approx 45% complete for Res2_RNA_H1_2.fastq.gz
Approx 5% complete for Res2_RNA_H2_2.fastq.gz
Approx 20% complete for Res2_RNA_H2_1.fastq.gz
Approx 80% complete for Res2_RNA_G6_1.fastq.gz
Approx 75% complete for Res2_RNA_G6_2.fastq.gz
Approx 60% complete for Res2_RNA_H1_1.fastq.gz
Approx 50% complete for Res2_RNA_H1_2.fastq.gz
Approx 10% complete for Res2_RNA_H2_2.fastq.gz
Approx 25% complete for Res2_RNA_H2_1.fastq.gz
Approx 85% complete for Res2_RNA_G6_1.fastq.gz
Approx 80% complete for Res2_RNA_G6_2.fastq.gz
Approx 55% complete for Res2_RNA_H1_2.fastq.gz
Approx 65% complete for Res2_RNA_H1_1.fastq.gz
Approx 90% complete for Res2_RNA_G6_1.fastq.gz
Approx 30% complete for Res2_RNA_H2_1.fastq.gz
Approx 85% complete for Res2_RNA_G6_2.fastq.gz
Approx 15% complete for Res2_RNA_H2_2.fastq.gz
Approx 60% complete for Res2_RNA_H1_2.fastq.gz
Approx 70% complete for Res2_RNA_H1_1.fastq.gz
Approx 95% complete for Res2_RNA_G6_1.fastq.gz
Approx 90% complete for Res2_RNA_G6_2.fastq.gz
Approx 35% complete for Res2_RNA_H2_1.fastq.gz
Approx 20% complete for Res2_RNA_H2_2.fastq.gz
Approx 65% complete for Res2_RNA_H1_2.fastq.gz
Approx 75% complete for Res2_RNA_H1_1.fastq.gz
Analysis complete for Res2_RNA_G6_1.fastq.gz
Approx 95% complete for Res2_RNA_G6_2.fastq.gz
Approx 40% complete for Res2_RNA_H2_1.fastq.gz
Started analysis of Res2_RNA_H3_1.fastq.gz
Approx 25% complete for Res2_RNA_H2_2.fastq.gz
Approx 70% complete for Res2_RNA_H1_2.fastq.gz
Analysis complete for Res2_RNA_G6_2.fastq.gz
Approx 80% complete for Res2_RNA_H1_1.fastq.gz
Approx 45% complete for Res2_RNA_H2_1.fastq.gz
Started analysis of Res2_RNA_H3_2.fastq.gz
Approx 5% complete for Res2_RNA_H3_1.fastq.gz
Approx 30% complete for Res2_RNA_H2_2.fastq.gz
Approx 75% complete for Res2_RNA_H1_2.fastq.gz
Approx 50% complete for Res2_RNA_H2_1.fastq.gz
Approx 85% complete for Res2_RNA_H1_1.fastq.gz
Approx 5% complete for Res2_RNA_H3_2.fastq.gz
Approx 35% complete for Res2_RNA_H2_2.fastq.gz
Approx 10% complete for Res2_RNA_H3_1.fastq.gz
Approx 55% complete for Res2_RNA_H2_1.fastq.gz
Approx 80% complete for Res2_RNA_H1_2.fastq.gz
Approx 90% complete for Res2_RNA_H1_1.fastq.gz
Approx 40% complete for Res2_RNA_H2_2.fastq.gz
Approx 60% complete for Res2_RNA_H2_1.fastq.gz
Approx 15% complete for Res2_RNA_H3_1.fastq.gz
Approx 10% complete for Res2_RNA_H3_2.fastq.gz
Approx 85% complete for Res2_RNA_H1_2.fastq.gz
Approx 95% complete for Res2_RNA_H1_1.fastq.gz
Approx 45% complete for Res2_RNA_H2_2.fastq.gz
Approx 65% complete for Res2_RNA_H2_1.fastq.gz
Approx 90% complete for Res2_RNA_H1_2.fastq.gz
Approx 20% complete for Res2_RNA_H3_1.fastq.gz
Approx 15% complete for Res2_RNA_H3_2.fastq.gz
Analysis complete for Res2_RNA_H1_1.fastq.gz
Started analysis of Res2_RNA_H4_1.fastq.gz
Approx 50% complete for Res2_RNA_H2_2.fastq.gz
Approx 70% complete for Res2_RNA_H2_1.fastq.gz
Approx 95% complete for Res2_RNA_H1_2.fastq.gz
Approx 25% complete for Res2_RNA_H3_1.fastq.gz
Approx 20% complete for Res2_RNA_H3_2.fastq.gz
Approx 55% complete for Res2_RNA_H2_2.fastq.gz
Approx 75% complete for Res2_RNA_H2_1.fastq.gz
Approx 5% complete for Res2_RNA_H4_1.fastq.gz
Analysis complete for Res2_RNA_H1_2.fastq.gz
Approx 30% complete for Res2_RNA_H3_1.fastq.gz
Started analysis of Res2_RNA_H4_2.fastq.gz
Approx 80% complete for Res2_RNA_H2_1.fastq.gz
Approx 60% complete for Res2_RNA_H2_2.fastq.gz
Approx 25% complete for Res2_RNA_H3_2.fastq.gz
Approx 10% complete for Res2_RNA_H4_1.fastq.gz
Approx 85% complete for Res2_RNA_H2_1.fastq.gz
Approx 65% complete for Res2_RNA_H2_2.fastq.gz
Approx 35% complete for Res2_RNA_H3_1.fastq.gz
Approx 5% complete for Res2_RNA_H4_2.fastq.gz
Approx 30% complete for Res2_RNA_H3_2.fastq.gz
Approx 15% complete for Res2_RNA_H4_1.fastq.gz
Approx 90% complete for Res2_RNA_H2_1.fastq.gz
Approx 70% complete for Res2_RNA_H2_2.fastq.gz
Approx 40% complete for Res2_RNA_H3_1.fastq.gz
Approx 10% complete for Res2_RNA_H4_2.fastq.gz
Approx 35% complete for Res2_RNA_H3_2.fastq.gz
Approx 20% complete for Res2_RNA_H4_1.fastq.gz
Approx 95% complete for Res2_RNA_H2_1.fastq.gz
Approx 75% complete for Res2_RNA_H2_2.fastq.gz
Approx 45% complete for Res2_RNA_H3_1.fastq.gz
Approx 15% complete for Res2_RNA_H4_2.fastq.gz
Approx 40% complete for Res2_RNA_H3_2.fastq.gz
Approx 25% complete for Res2_RNA_H4_1.fastq.gz
Analysis complete for Res2_RNA_H2_1.fastq.gz
Approx 80% complete for Res2_RNA_H2_2.fastq.gz
Approx 50% complete for Res2_RNA_H3_1.fastq.gz
Started analysis of Res2_RNA_H5_1.fastq.gz
Approx 20% complete for Res2_RNA_H4_2.fastq.gz
Approx 45% complete for Res2_RNA_H3_2.fastq.gz
Approx 30% complete for Res2_RNA_H4_1.fastq.gz
Approx 85% complete for Res2_RNA_H2_2.fastq.gz
Approx 55% complete for Res2_RNA_H3_1.fastq.gz
Approx 25% complete for Res2_RNA_H4_2.fastq.gz
Approx 5% complete for Res2_RNA_H5_1.fastq.gz
Approx 50% complete for Res2_RNA_H3_2.fastq.gz
Approx 35% complete for Res2_RNA_H4_1.fastq.gz
Approx 90% complete for Res2_RNA_H2_2.fastq.gz
Approx 60% complete for Res2_RNA_H3_1.fastq.gz
Approx 30% complete for Res2_RNA_H4_2.fastq.gz
Approx 55% complete for Res2_RNA_H3_2.fastq.gz
Approx 10% complete for Res2_RNA_H5_1.fastq.gz
Approx 95% complete for Res2_RNA_H2_2.fastq.gz
Approx 40% complete for Res2_RNA_H4_1.fastq.gz
Approx 65% complete for Res2_RNA_H3_1.fastq.gz
Approx 35% complete for Res2_RNA_H4_2.fastq.gz
Approx 60% complete for Res2_RNA_H3_2.fastq.gz
Analysis complete for Res2_RNA_H2_2.fastq.gz
Approx 15% complete for Res2_RNA_H5_1.fastq.gz
Approx 45% complete for Res2_RNA_H4_1.fastq.gz
Started analysis of Res2_RNA_H5_2.fastq.gz
Approx 70% complete for Res2_RNA_H3_1.fastq.gz
Approx 65% complete for Res2_RNA_H3_2.fastq.gz
Approx 40% complete for Res2_RNA_H4_2.fastq.gz
Approx 50% complete for Res2_RNA_H4_1.fastq.gz
Approx 20% complete for Res2_RNA_H5_1.fastq.gz
Approx 75% complete for Res2_RNA_H3_1.fastq.gz
Approx 5% complete for Res2_RNA_H5_2.fastq.gz
Approx 70% complete for Res2_RNA_H3_2.fastq.gz
Approx 45% complete for Res2_RNA_H4_2.fastq.gz
Approx 55% complete for Res2_RNA_H4_1.fastq.gz
Approx 25% complete for Res2_RNA_H5_1.fastq.gz
Approx 80% complete for Res2_RNA_H3_1.fastq.gz
Approx 75% complete for Res2_RNA_H3_2.fastq.gz
Approx 50% complete for Res2_RNA_H4_2.fastq.gz
Approx 10% complete for Res2_RNA_H5_2.fastq.gz
